,Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
99,Lebanon,LBN,,5489739.0,23904522.0,6.0,51.480957,41.9640539343687,,4762519.0,1771423.0,10230.0,1.0,17.0,15.7,1507.5,526828803.836365,171.205491336641,90.0,76.1,10.0
100,Lesotho,LSO,2236502124.16956,2305825.0,3134694.0,5.0,50.658745,78.8491041586762,,969265.0,1004025.0,30360.0,2.0,25.0,12.6,16.3558534845,-7820069.16054053,8.27180389943028,76.0,44.3,16.0
101,Liberia,LBR,4001046970.0,5302681.0,876934.0,7.0,50.222107,88.9299572670563,,1302423.0,2498590.0,96320.0,2.0,25.0,25.5,152.933756840022,960192468.672831,,43.0,,90.0
102,Libya,LBY,45752336035.9846,6812341.0,62961304.0,5.0,49.378357,56.6587376584444,,,2397855.0,1759540.0,0.0,20.0,22.8,4.813175,,4.51030149235703,90.0,79.4,1334.0
103,Liechtenstein,LIE,,39327.0,149934.0,,50.4265,0.0,5.1230164,,,160.0,,12.5,,,,,100.0,91.9,1.0
104,Lithuania,LTU,70974490450.4944,2831639.0,12667216.0,10.0,53.07134,83.8501652589056,2.5837471,2342390.0,1474043.0,62620.0,2.0,15.0,8.0,,745150135.641191,19.7050461518394,100.0,92.4,82.0
105,Luxembourg,LUX,81641807865.7591,653103.0,7524108.0,8.0,49.670666,86.2903707241359,0.6256638,622978.0,347323.0,2574.46,3.0,24.94,11.4,,-322053781286.067,6.33600807777919,100.0,92.1,13.0
106,Madagascar,MDG,15297192798.9771,29611714.0,4403593.0,7.0,49.885498,94.014116575592,,,15829771.0,581800.0,1.0,20.0,22.7,4096.11618374535,467848664.235502,8.16059031991792,64.0,26.4,331.0
107,Malawi,MWI,13164667626.9363,20405317.0,2094072.1,9.0,51.377953,85.5813828788976,,,8366090.0,94280.0,2.0,30.0,22.6,,243244065.018999,20.953969729969,61.0,31.5,70.0
108,Malaysia,MYS,407027451714.616,33938221.0,291071360.0,9.0,48.869377,66.1801298001693,0.72377706,29732254.0,17307639.0,328550.0,1.0,24.0,26.4,4.40107634540072,14725970431.5896,3.37869862549905,93.0,94.5,3837.0
109,Maldives,MDV,6170638746.965,523787.0,1701072.0,3.0,42.327747,54.1420155985597,,323744.0,260231.0,300.0,2.0,15.0,,15.386625,721895590.179118,2.33314337624567,98.0,79.0,0.0
110,Mali,MLI,18827176529.6983,22593590.0,7038757.0,8.0,49.50581,62.8550557009801,,5815387.0,8276658.0,1220190.0,0.0,30.0,29.2,623.759700911182,252912731.324,9.62147608489072,31.0,38.2,165.0
111,Malta,MLT,18125564514.2664,531113.0,1655127.0,7.0,47.987274,78.1270581778266,0.3796882,447639.0,301690.0,320.0,2.0,35.0,20.3,,4829250953.31145,6.15375621933037,93.0,87.0,1.0
112,Marshall Islands,MHL,258774475.097656,41569.0,151206.0,,48.91082,0.0,,,,180.0,,,,,2573907.8,,98.0,,0.0
113,Mauritania,MRT,9780863578.97688,4736139.0,4534088.0,6.0,51.016212,46.1291224147568,,1835431.0,1178602.0,1030700.0,1.0,25.0,28.9,,1401620461.82275,9.52526628622834,46.0,53.7,22.0
